ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2019/02/22","2/22/2019 12:00:00 AM","$12.730","0.0063","Natural Logarithm ($12.7300 / $12.6500)","=ln(D414/D413)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G414-H414)*(G414-H414)"
"0","2019/03/01","3/1/2019 12:00:00 AM","$12.590","-0.0111","Natural Logarithm ($12.5900 / $12.7300)","=ln(D415/D414)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G415-H415)*(G415-H415)"
"0","2019/03/08","3/8/2019 12:00:00 AM","$12.220","-0.0298","Natural Logarithm ($12.2200 / $12.5900)","=ln(D416/D415)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G416-H416)*(G416-H416)"
"0","2019/03/15","3/15/2019 12:00:00 AM","$12.130","-0.0074","Natural Logarithm ($12.1300 / $12.2200)","=ln(D417/D416)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G417-H417)*(G417-H417)"
"0","2019/03/22","3/22/2019 12:00:00 AM","$11.450","-0.0577","Natural Logarithm ($11.4500 / $12.1300)","=ln(D418/D417)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G418-H418)*(G418-H418)"
"0","2019/03/29","3/29/2019 12:00:00 AM","$11.850","0.0343","Natural Logarithm ($11.8500 / $11.4500)","=ln(D419/D418)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G419-H419)*(G419-H419)"
"0","2019/04/05","4/5/2019 12:00:00 AM","$12.310","0.0381","Natural Logarithm ($12.3100 / $11.8500)","=ln(D420/D419)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G420-H420)*(G420-H420)"
"0","2019/04/12","4/12/2019 12:00:00 AM","$12.500","0.0153","Natural Logarithm ($12.5000 / $12.3100)","=ln(D421/D420)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G421-H421)*(G421-H421)"
"0","2019/04/26","4/26/2019 12:00:00 AM","$11.820","-0.0559","Natural Logarithm ($11.8200 / $12.5000)","=ln(D422/D421)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G422-H422)*(G422-H422)"
"0","2019/05/03","5/3/2019 12:00:00 AM","$11.820","0.0000","Natural Logarithm ($11.8200 / $11.8200)","=ln(D423/D422)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G423-H423)*(G423-H423)"
