ORDER_NUM,TRX_DT,TRX_DT_RAW,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2019/06/01","6/1/2019 12:00:00 AM","$10.410","-0.1117","Natural Logarithm ($10.4100 / $11.6400)","=ln(D62/D61)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G62-H62)*(G62-H62)"
"0","2019/07/01","7/1/2019 12:00:00 AM","$11.130","0.0669","Natural Logarithm ($11.1300 / $10.4100)","=ln(D63/D62)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G63-H63)*(G63-H63)"
"0","2019/08/01","8/1/2019 12:00:00 AM","$11.070","-0.0054","Natural Logarithm ($11.0700 / $11.1300)","=ln(D64/D63)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G64-H64)*(G64-H64)"
"0","2019/09/01","9/1/2019 12:00:00 AM","$11.100","0.0027","Natural Logarithm ($11.1000 / $11.0700)","=ln(D65/D64)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G65-H65)*(G65-H65)"
"0","2019/10/01","10/1/2019 12:00:00 AM","$11.110","0.0009","Natural Logarithm ($11.1100 / $11.1000)","=ln(D66/D65)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G66-H66)*(G66-H66)"
"0","2019/11/01","11/1/2019 12:00:00 AM","$12.060","0.0820","Natural Logarithm ($12.0600 / $11.1100)","=ln(D67/D66)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G67-H67)*(G67-H67)"
"0","2019/12/01","12/1/2019 12:00:00 AM","$12.060","0.0000","Natural Logarithm ($12.0600 / $12.0600)","=ln(D68/D67)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G68-H68)*(G68-H68)"
"0","2020/01/01","1/1/2020 12:00:00 AM","$11.915","-0.0121","Natural Logarithm ($11.9150 / $12.0600)","=ln(D69/D68)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G69-H69)*(G69-H69)"
"0","2020/02/01","2/1/2020 12:00:00 AM","$12.085","0.0142","Natural Logarithm ($12.0850 / $11.9150)","=ln(D70/D69)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G70-H70)*(G70-H70)"
"0","2020/03/01","3/1/2020 12:00:00 AM","$10.540","-0.1368","Natural Logarithm ($10.5400 / $12.0850)","=ln(D71/D70)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G71-H71)*(G71-H71)"
"0","2020/04/01","4/1/2020 12:00:00 AM","$7.550","-0.3336","Natural Logarithm ($7.5500 / $10.5400)","=ln(D72/D71)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G72-H72)*(G72-H72)"
"0","2020/05/01","5/1/2020 12:00:00 AM","$8.940","0.1690","Natural Logarithm ($8.9400 / $7.5500)","=ln(D73/D72)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G73-H73)*(G73-H73)"
"0","2020/06/01","6/1/2020 12:00:00 AM","$8.590","-0.0399","Natural Logarithm ($8.5900 / $8.9400)","=ln(D74/D73)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G74-H74)*(G74-H74)"
"0","2020/07/01","7/1/2020 12:00:00 AM","$8.120","-0.0563","Natural Logarithm ($8.1200 / $8.5900)","=ln(D75/D74)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G75-H75)*(G75-H75)"
